phase,sample_index,t_phase_s,t_global_s,s_global_m,S_total_m,mu_x,vx_mps,ax_model_mps2,omega_front_radps,omega_rear_radps,v_front_wheel_mps,v_rear_wheel_mps,v_slip_front_mps,v_slip_rear_mps,kappa_front,kappa_rear,slack_front_mps,slack_rear_mps,M_total_cmd_Nm,M_front_total_cmd_Nm,M_rear_total_cmd_Nm,M_front_per_wheel_cmd_Nm,M_rear_per_wheel_cmd_Nm,M_total_act_Nm,M_front_total_act_Nm,M_rear_total_act_Nm,Fx_front_total_N,Fx_rear_total_N,Fx_total_N,F_resistance_N,Fz_front_total_N,Fz_rear_total_N,Fz_FL_N,Fz_FR_N,Fz_RL_N,Fz_RR_N,P_front_cmd_W,P_rear_cmd_W,P_total_cmd_W,P_total_cmd_kW,P_front_act_W,P_rear_act_W,P_total_act_W,P_total_act_kW,P_total_drive_limit_W,M_total_limit_Nm,M_axle_limit_Nm,power_limited_cmd,torque_limited_front,torque_limited_rear,initial_phase_end_flag,initial_phase_region,initial_phase_end_t_s,initial_phase_end_s_m,initial_phase_end_vx_mps,initial_phase_end_ax_mps2,initial_phase_end_reason
launch,0,0.0,0.0,0.0,25.0,0.9,2.558798582379204e-35,-0.36419561403508777,-1.1670647132327604e-34,2.040812844003021e-33,-2.275776190803883e-35,3.979585045805891e-34,-4.834574773183086e-35,3.7237051875679708e-34,-6.446099697577449e-35,4.964940250090628e-34,1.9109450849620267e-05,1.9109450849620267e-05,70.36041320403464,28.347994604398494,42.01241859963615,14.173997302199247,21.006209299818074,-2.3135198192121146e-32,-3.3163316989099064e-32,1.0028118796977918e-32,8.294376912735435e-30,-4.508031743991048e-30,3.7863451687443865e-30,83.0366,910.170343521961,1326.5096564780392,455.0851717609805,455.0851717609805,663.2548282390196,663.2548282390196,-3.3083944193706166e-33,8.573948348576887e-32,8.243108906639826e-32,8.243108906639826e-35,3.870373703173003e-66,2.046551364206066e-65,2.4335887345233664e-65,2.4335887345233666e-68,80000.0,1062.52,531.26,0,0,0,0,initial,0.495,0.5013103757751985,2.686630372831026,8.082228190132072,initial_ax_ramp_knee
launch,1,0.033,0.033,-5.046332119619575e-05,25.0,0.9,0.00444930382495552,0.8605040227027728,0.33767731201211765,0.3644069973138157,0.06584707584236295,0.07105936447619407,0.061397772017407426,0.06661006065123855,0.0818629757634776,0.08881263279635156,0.005147302952406695,0.010359573552446093,145.61530887955183,56.59819620224401,89.01711267730782,28.299098101122006,44.50855633865391,47.37454444794231,19.08705860640249,28.287485841539823,108.87735178841587,170.35431613199714,279.231667920413,83.0367507441808,873.1773074860489,1363.5026945252557,436.58865374302445,436.58865374302445,681.7513472626279,681.7513472626279,19.111926758308204,32.438458740283345,51.55038549859155,0.051550385498591554,6.445266644427749,10.308157777072601,16.75342442150035,0.016753424421500348,80000.0,1062.52,531.26,0,0,0,0,initial,0.495,0.5013103757751985,2.686630372831026,8.082228190132072,initial_ax_ramp_knee
launch,2,0.066,0.066,0.0007672845016550387,25.0,0.9,0.053476513957283554,2.113850656170216,0.5720039008393796,0.5750883980990745,0.11154076066367902,0.11214223762931953,0.05806424670639546,0.05866572367203598,0.07732072139964068,0.07812167268251453,0.0017428491305306675,0.0023442989340235593,182.6813577864937,69.66086226560579,113.0204955208879,34.83043113280289,56.51024776044395,113.52127737955385,44.34377576316261,69.17750161639124,217.6481719841176,347.35140113847615,564.9995731225938,83.04162351578447,831.1534474302255,1405.5268431191093,415.57672371511273,415.57672371511273,702.7634215595547,702.7634215595547,39.84628495176125,64.99677572147105,104.8430606732323,0.1048430606732323,25.36481271447575,39.78317858906658,65.14799130354233,0.06514799130354233,80000.0,1062.52,531.26,0,0,0,0,initial,0.495,0.5013103757751985,2.686630372831026,8.082228190132072,initial_ax_ramp_knee
launch,3,0.099,0.099,0.0038310111306309614,25.0,0.9,0.14068586296671856,3.1736770049179976,1.0250304552263207,1.0376299007835974,0.19988093876913254,0.2023378306528015,0.05919507580241398,0.06165196768608294,0.07823852905732684,0.08148581955278568,0.0024503282963502454,0.004907182481621722,225.9470848989819,83.89051294689827,142.05657195208363,41.945256473449135,71.02828597604181,160.08762277267553,61.39008611276726,98.69753665990828,303.25020748752326,503.4129951601118,806.663202647635,83.06484552633155,795.6187808546208,1441.0632300646027,397.8093904273104,397.8093904273104,720.5316150323014,720.5316150323014,85.99033067512869,147.4021466602985,233.3924773354272,0.2333924773354272,62.92670791455285,102.41151517200609,165.33822308655894,0.16533822308655893,80000.0,1062.52,531.26,0,0,0,0,initial,0.495,0.5013103757751985,2.686630372831026,8.082228190132072,initial_ax_ramp_knee
launch,4,0.132,0.132,0.010300766022725642,25.0,0.9,0.25986287545208847,4.052391603917869,1.6382575802156287,1.6437160582518209,0.3194602281420476,0.3205246313591051,0.05959735268995914,0.06066175590701661,0.077147720753948,0.07852557192439083,0.0016592360371562498,0.0027235957959723034,254.85961983637543,92.46210447435796,162.3975153620175,46.23105223717898,81.19875768100874,204.43162067917677,76.53990435019183,127.89171632898493,369.53502085891415,637.5369754106058,1007.07199626952,83.12671057624594,766.1579353308969,1470.5289255864498,383.07896766544843,383.07896766544843,735.2644627932249,735.2644627932249,151.47674353780633,266.9354038207449,418.41214735855124,0.41841214735855126,125.39207849068094,210.21766784733913,335.60974633802005,0.33560974633802004,80000.0,1062.52,531.26,0,0,0,0,initial,0.495,0.5013103757751985,2.686630372831026,8.082228190132072,initial_ax_ramp_knee
launch,5,0.165,0.165,0.021144109568224524,25.0,0.9,0.4058386003875505,4.797888887284304,2.3999613904329875,2.408707984297549,0.4679924711344326,0.4696980569380221,0.06215387074688211,0.0638594565504716,0.07721921087290151,0.07933820987081686,0.0017863397928591764,0.003491875146670745,284.56622019143595,101.0042465122061,183.56197367922988,50.50212325610305,91.78098683961494,238.38542195327892,87.26052043446589,151.12490151881303,421.5084219233706,755.6601459565763,1177.168567879947,83.24990157912556,741.1657953034083,1495.5309387214995,370.5828976517042,370.5828976517042,747.7654693607498,747.7654693607498,242.40629189907037,442.14719161457754,684.553483513648,0.684553483513648,209.4218799518069,364.01575691454576,573.4376368663527,0.5734376368663527,80000.0,1062.52,531.26,0,0,0,0,initial,0.495,0.5013103757751985,2.686630372831026,8.082228190132072,initial_ax_ramp_knee
launch,6,0.198,0.198,0.03717797604054566,25.0,0.9,0.574478372155399,5.426436740282805,3.28408817905814,3.2905344355044277,0.6403971949163373,0.6416542149233634,0.0659188227609383,0.0671758427679644,0.0766490392990389,0.07811067608019992,0.001418307849702167,0.0026752667298081657,306.75550995343974,106.48676206601267,200.26874788742705,53.24338103300634,100.13437394371353,269.4795298350895,96.51434275159963,172.9651870834899,461.7970712706457,858.887719049045,1320.6847903196908,83.45721353521142,720.0976675358786,1516.6158630447692,360.0488337679393,360.0488337679393,758.3079315223846,758.3079315223846,349.71191652716897,658.9912112789333,1008.7031278061022,1.0087031278061023,316.961612140094,569.1479042416892,886.1095163817831,0.8861095163817831,80000.0,1062.52,531.26,0,0,0,0,initial,0.495,0.5013103757751985,2.686630372831026,8.082228190132072,initial_ax_ramp_knee
launch,7,0.231,0.231,0.05909324170080708,25.0,0.9,0.7623786718200235,5.964994752464713,4.279472245661551,4.286697438922998,0.8344970879040025,0.8359060005899845,0.07211841608397895,0.07352732876996104,0.07641764099987854,0.07791054377955385,0.0013380130018136726,0.0027468549550941617,328.13516843781406,111.60245099795178,216.53271743986227,55.80122549897589,108.26635871993113,294.5779125270225,103.22889715158841,191.34901537543408,493.16009545554516,950.6289785501256,1443.7890740056707,83.77027044371629,702.0503327373203,1534.6887193405873,351.02516636866017,351.02516636866017,767.3443596702937,767.3443596702937,477.59959159353787,928.2102452924947,1405.8098368860326,1.4058098368860326,441.76520031047335,820.2553341503105,1262.020534460784,1.262020534460784,80000.0,1062.52,531.26,0,0,0,0,initial,0.495,0.5013103757751985,2.686630372831026,8.082228190132072,initial_ax_ramp_knee
launch,8,0.264,0.264,0.08747995635466764,25.0,0.9,0.9667477246973114,6.424166700897748,5.371677557680095,5.377903272142637,1.0474771237476186,1.0486911380678143,0.08072939905030718,0.08194341337050293,0.07604977350036428,0.07719341528592434,0.001114525528501103,0.0023284535265189767,344.9293930063896,114.88603998293615,230.04335302345345,57.44301999146808,115.02167651172672,317.17243179294417,108.86691547492359,208.30551631802058,517.100236012042,1031.8187428553867,1548.918978867429,84.20897106274225,686.6689146324195,1550.1060408457624,343.33445731620975,343.33445731620975,775.0530204228812,775.0530204228812,617.1307626670763,1237.150900959494,1854.2816636265702,1.8542816636265702,584.7979666305029,1120.2469178120443,1705.0448844425473,1.7050448844425472,80000.0,1062.52,531.26,0,0,0,0,initial,0.495,0.5013103757751985,2.686630372831026,8.082228190132072,initial_ax_ramp_knee
launch,9,0.29700000000000004,0.29700000000000004,0.12284204924147467,25.0,0.9,1.185193736696098,6.817309781464519,6.55149135336878,6.557537022709146,1.2775408139069122,1.2787197194282833,0.09234707721081414,0.09352598273218526,0.0758044243945602,0.0767721459203763,0.0009801506372133719,0.0021589533521295633,360.3111849455909,117.71434830902611,242.59683663656483,58.857174154513054,121.29841831828242,335.8615402399477,112.91966713679399,222.9418731031537,535.0751366730802,1104.0625266958061,1639.1376633688865,84.79103319497625,673.5061437726813,1563.3165721413789,336.75307188634065,336.75307188634065,781.6582860706894,781.6582860706894,771.2045351140254,1590.8377378363964,2362.0422729504216,2.3620422729504216,739.7922228719866,1461.9495867860546,2201.7418096580413,2.2017418096580412,80000.0,1062.52,531.26,0,0,0,0,initial,0.495,0.5013103757751985,2.686630372831026,8.082228190132072,initial_ax_ramp_knee
