phase,sample_index,t_phase_s,t_global_s,s_global_m,S_total_m,mu_x,vx_mps,ax_model_mps2,omega_front_radps,omega_rear_radps,v_front_wheel_mps,v_rear_wheel_mps,v_slip_front_mps,v_slip_rear_mps,kappa_front,kappa_rear,slack_front_mps,slack_rear_mps,M_total_cmd_Nm,M_front_total_cmd_Nm,M_rear_total_cmd_Nm,M_front_per_wheel_cmd_Nm,M_rear_per_wheel_cmd_Nm,M_total_act_Nm,M_front_total_act_Nm,M_rear_total_act_Nm,Fx_front_total_N,Fx_rear_total_N,Fx_total_N,F_resistance_N,Fz_front_total_N,Fz_rear_total_N,Fz_FL_N,Fz_FR_N,Fz_RL_N,Fz_RR_N,P_front_cmd_W,P_rear_cmd_W,P_total_cmd_W,P_total_cmd_kW,P_front_act_W,P_rear_act_W,P_total_act_W,P_total_act_kW,P_total_drive_limit_W,M_total_limit_Nm,M_axle_limit_Nm,power_limited_cmd,torque_limited_front,torque_limited_rear,initial_phase_end_flag,initial_phase_region,initial_phase_end_t_s,initial_phase_end_s_m,initial_phase_end_vx_mps,initial_phase_end_ax_mps2,initial_phase_end_reason
launch,0,0.0,0.0,0.0,25.0,1.0,4.888779842531157e-35,-0.36419561403508777,-1.7011988425615348e-34,-1.0967455506200543e-33,-3.317337742994993e-35,-2.138653823709106e-34,-8.20611758552615e-35,-2.6275318079622216e-34,-1.0941490114034868e-34,-3.5033757439496287e-34,1.910945513055195e-05,1.910945513055195e-05,78.61481707746505,31.539928070403356,47.07488900706169,15.769964035201678,23.537444503530846,8.588796494057077e-33,-1.9508210372658978e-33,1.0539617531322974e-32,-8.62854569447081e-30,1.8103764046731553e-30,-6.818169289797655e-30,83.0366,910.170343521961,1326.5096564780392,455.0851717609805,455.0851717609805,663.2548282390196,663.2548282390196,-5.365568912784425e-33,-5.162917506442781e-32,-5.699474397721223e-32,-5.699474397721223e-35,3.318734490641438e-67,-1.1559278632715593e-65,-1.1227405183651449e-65,-1.1227405183651449e-68,80000.0,1062.52,531.26,0,0,0,0,initial,0.495,0.5644663578996616,3.020229712010677,9.059054905144022,initial_ax_ramp_knee
launch,1,0.033,0.033,-3.0394654930092425e-05,25.0,1.0,0.006631923110919353,1.0102658486073772,0.35239954474770024,0.38561081984359646,0.06871791122580155,0.07519410986950131,0.062085988114882196,0.06856218675858196,0.08277969933086901,0.09141446206574677,0.0058349101735159364,0.012311092184288448,162.7241242583407,63.086559931608086,99.63756432673263,31.543279965804043,49.818782163366315,52.93233760727344,21.236227250731183,31.69611035654226,121.98181905587515,191.39563685062603,313.37745590650115,83.03684242401914,868.1558825406149,1368.5241219279976,434.07794127030746,434.07794127030746,684.2620609639988,684.2620609639988,22.231674999597196,38.42132286725045,60.65299786684765,0.06065299786684765,7.483636815316375,12.22236310043937,19.705999915755747,0.019705999915755747,80000.0,1062.52,531.26,0,0,0,0,initial,0.495,0.5644663578996616,3.020229712010677,9.059054905144022,initial_ax_ramp_knee
launch,2,0.066,0.066,0.0009614342604118807,25.0,1.0,0.06278482811497395,2.3970513387979477,0.6196837076673622,0.6235652724064026,0.12083832299513564,0.12159522811924851,0.05805349488016169,0.058810400004274566,0.07726928629516437,0.07827672811850481,0.0017050447243824494,0.002461916578706525,203.0832267961713,76.63082850722768,126.45239828894361,38.31541425361384,63.226199144471806,126.85651797893914,49.41457862001629,77.44193935892285,241.18905609470286,388.3818629938283,629.5709190885311,83.04321384259906,821.6579390675565,1415.0224614330032,410.82896953377826,410.82896953377826,707.5112307165016,707.5112307165016,47.486875930980645,78.85132418548804,126.33820011646868,0.12633820011646868,30.621409292072066,48.29010401202684,78.9115133040989,0.0789115133040989,80000.0,1062.52,531.26,0,0,0,0,initial,0.495,0.5644663578996616,3.020229712010677,9.059054905144022,initial_ax_ramp_knee
launch,3,0.099,0.099,0.004502129027891858,25.0,1.0,0.1612765416706847,3.5747671169454445,1.1324580976708554,1.1466900188689386,0.2208293290458168,0.22360455367944304,0.059552787375132116,0.06232801200875834,0.07849629504208289,0.08215430772714735,0.0026525938560008956,0.0054277829268525755,251.75024920283442,92.44257713119313,159.3076720716413,46.221288565596566,79.65383603582065,178.1809124862648,67.7396193819154,110.44129310434938,334.6173865161073,563.502563640078,898.1199501561853,83.07304749262394,782.1707177687013,1454.511924859785,391.0853588843506,391.0853588843506,727.2559624298925,727.2559624298925,104.6873450417823,182.67651749379704,287.3638625355793,0.28736386253557933,76.71228050219172,126.64192847373637,203.3542089759281,0.2033542089759281,80000.0,1062.52,531.26,0,0,0,0,initial,0.495,0.5644663578996616,3.020229712010677,9.059054905144022,initial_ax_ramp_knee
launch,4,0.132,0.132,0.011879790304611518,25.0,1.0,0.29528030947307526,4.551023520631688,1.822222927824533,1.8282123948757434,0.35533347092578393,0.35650141700077,0.06005316145270867,0.06122110752769472,0.07708378386437319,0.07858295061316067,0.0016235035695524901,0.0027914020929843985,283.7701515785327,101.30829841308571,182.46185316544702,50.654149206542854,91.23092658272351,227.7160651889341,84.37242917646748,143.34363601246662,406.20860551758653,714.5765603205607,1120.7851658381473,83.1518031341224,749.4398987433079,1487.2489598075465,374.71994937165397,374.71994937165397,743.6244799037732,743.6244799037732,184.60630414721453,333.57902154906816,518.1853256962827,0.5181853256962827,153.74537492161062,262.06261208454845,415.80798700615907,0.41580798700615906,80000.0,1062.52,531.26,0,0,0,0,initial,0.495,0.5644663578996616,3.020229712010677,9.059054905144022,initial_ax_ramp_knee
launch,5,0.165,0.165,0.024169900633243823,25.0,1.0,0.4591226663936386,5.383173008844214,2.679229523295934,2.6887337653292938,0.5224497570427071,0.5243030842392123,0.06332709064906855,0.06518041784557377,0.07720325271784237,0.07946267892002724,0.0018073421638766835,0.0036606176753704468,317.3653426731348,110.61594474813978,206.74939792499507,55.30797237406989,103.37469896249753,265.457981221351,95.77556132675879,169.68241989459224,461.9721618627146,848.6991591990975,1310.671321061812,83.30787504533117,721.5434341916032,1515.157982440473,360.7717170958016,360.7717170958016,757.5789912202365,757.5789912202365,296.3655049164879,555.8940871624364,852.2595920789244,0.8522595920789243,256.60471151689245,456.23085175337326,712.8355632702658,0.7128355632702658,80000.0,1062.52,531.26,0,0,0,0,initial,0.495,0.5644663578996616,3.020229712010677,9.059054905144022,initial_ax_ramp_knee
launch,6,0.198,0.198,0.04228392131638735,25.0,1.0,0.6483010674892518,6.0872226401220395,3.6739575302063185,3.6808759201861854,0.7164217183902322,0.7177708044363061,0.0681206509009804,0.06946973694705438,0.0765316222577117,0.07804728222727604,0.0013634193771122046,0.002712438112932246,342.3408068651246,116.19748965587016,226.1433172092544,58.09874482793508,113.0716586046272,300.4078555937763,105.76777672182708,194.6400788719492,504.6768819822856,966.7797716506702,1471.4566536329557,83.56989168513067,697.9455699281428,1538.7771319701064,348.9727849640714,348.9727849640714,769.3885659850532,769.3885659850532,426.904642112255,832.4054908265707,1259.3101329388257,1.2593101329388257,388.58631974033716,716.4459794228977,1105.032299163235,1.1050322991632349,80000.0,1062.52,531.26,0,0,0,0,initial,0.495,0.5644663578996616,3.020229712010677,9.059054905144022,initial_ax_ramp_knee
launch,7,0.231,0.231,0.06699576281480275,25.0,1.0,0.8591159571675531,6.694106368848021,4.795402637227848,4.803056391356643,0.9351035142594305,0.9365959963145454,0.07598755709187743,0.07748003914699231,0.07629067959761589,0.07778911532353727,0.0012856849081582969,0.002778089861569762,366.7345094448229,121.58803072250551,245.1464787223174,60.794015361252754,122.5732393611587,328.6418350912698,112.79023262384516,215.85160246742464,537.4910076092885,1072.730417433851,1610.2214250431396,83.96517294579068,677.6100176041118,1559.144971347039,338.8050088020559,338.8050088020559,779.5724856735195,779.5724856735195,583.0635631820436,1177.452361445802,1760.5159246278454,1.7605159246278455,540.8745789779296,1036.7474188157373,1577.6219977936669,1.577621997793667,80000.0,1062.52,531.26,0,0,0,0,initial,0.495,0.5644663578996616,3.020229712010677,9.059054905144022,initial_ax_ramp_knee
launch,8,0.264,0.264,0.098969986701101,25.0,1.0,1.088525543581662,7.213574639517931,6.027837183852095,6.034320557406091,1.1754282508511587,1.1766925086941877,0.08690270726949656,0.08816696511252564,0.0759000388100389,0.07700423017952325,0.001030679824794168,0.0022948390337034687,385.80287578159823,124.7394428396908,261.0634329419074,62.3697214198454,130.5317164709537,354.29010820573063,118.71389989766254,235.5762083080681,561.9385459216134,1167.2755062969902,1729.2140522186037,84.51903440851548,660.2106924479461,1576.5896921585315,330.1053462239731,330.1053462239731,788.2948460792658,788.2948460792658,751.9090518420811,1575.3404401883586,2327.24949203044,2.3272494920304396,715.5880600432257,1421.542356629155,2137.1304166723808,2.1371304166723806,80000.0,1062.52,531.26,0,0,0,0,initial,0.495,0.5644663578996616,3.020229712010677,9.059054905144022,initial_ax_ramp_knee
launch,9,0.29700000000000004,0.29700000000000004,0.13877657475228092,25.0,1.0,1.333886004841191,7.659569652461747,7.361629058903784,7.367861322654747,1.435517666486238,1.4367329579176757,0.101631661645047,0.10284695307648484,0.07567037119453632,0.07657522261817652,0.0009005597071791648,0.0021157334320955064,403.283435553819,127.44871745459609,275.8347180992229,63.724358727298046,137.91735904961146,375.508047956474,122.77097317127051,252.73707478520348,579.6331673044281,1252.0028193815092,1831.6359866859373,85.25410592465884,645.2808731929517,1591.5798987974376,322.64043659647587,322.64043659647587,795.7899493987188,795.7899493987188,938.2301819337724,2032.3119509286398,2970.5421328624125,2.9705421328624126,903.7943636875218,1862.1317181108009,2765.9260817983227,2.7659260817983227,80000.0,1062.52,531.26,0,0,0,0,initial,0.495,0.5644663578996616,3.020229712010677,9.059054905144022,initial_ax_ramp_knee
