phase,sample_index,t_phase_s,t_global_s,s_global_m,S_total_m,mu_x,vx_mps,ax_model_mps2,omega_front_radps,omega_rear_radps,v_front_wheel_mps,v_rear_wheel_mps,v_slip_front_mps,v_slip_rear_mps,kappa_front,kappa_rear,slack_front_mps,slack_rear_mps,M_total_cmd_Nm,M_front_total_cmd_Nm,M_rear_total_cmd_Nm,M_front_per_wheel_cmd_Nm,M_rear_per_wheel_cmd_Nm,M_total_act_Nm,M_front_total_act_Nm,M_rear_total_act_Nm,Fx_front_total_N,Fx_rear_total_N,Fx_total_N,F_resistance_N,Fz_front_total_N,Fz_rear_total_N,Fz_FL_N,Fz_FR_N,Fz_RL_N,Fz_RR_N,P_front_cmd_W,P_rear_cmd_W,P_total_cmd_W,P_total_cmd_kW,P_front_act_W,P_rear_act_W,P_total_act_W,P_total_act_kW,P_total_drive_limit_W,M_total_limit_Nm,M_axle_limit_Nm,power_limited_cmd,torque_limited_front,torque_limited_rear,initial_phase_end_flag,initial_phase_region,initial_phase_end_t_s,initial_phase_end_s_m,initial_phase_end_vx_mps,initial_phase_end_ax_mps2,initial_phase_end_reason
launch,10,0.33,0.33,0.1233128466350322,25.0,0.7,1.0650677691069184,5.413026369733766,5.900975902091054,5.906052431990081,1.1506903009077556,1.1516802242380657,0.08562253180083723,0.08661245513114735,0.07589821577562927,0.07677571160464741,0.0010134700533409177,0.002003303409282258,285.35749513936673,97.82907353246509,187.52842160690167,48.914536766232544,93.76421080345084,270.3369017083696,94.4273288315824,175.90957287678722,449.1725755619009,869.4539190712416,1318.6264946331426,84.45648233384394,720.5799657364148,1516.215286189829,360.2899828682074,360.2899828682074,758.1076430949145,758.1076430949145,577.2870054389703,1107.5526904987028,1684.839695937673,1.684839695937673,557.2133919339956,1038.9311606992856,1596.1445526332811,1.5961445526332811,80000.0,1062.52,531.26,0,0,0,0,initial,0.528,0.44656486120789013,2.2320129241514723,6.2114063822867855,initial_ax_ramp_knee
launch,11,0.363,0.363,0.1613541646941739,25.0,0.7,1.2471331743951921,5.621742500298312,6.888019911696415,6.892818130337652,1.343163882780801,1.3440995354158423,0.0960307083856089,0.09696636102065015,0.07570730545479253,0.07644494179041353,0.0008973751561127296,0.001832922813540684,293.2310711639982,99.34085033200206,193.89022083199615,49.67042516600103,96.94511041599807,280.4504547522912,96.71776599921513,183.73268875307608,459.0555041895905,907.679134789052,1366.7346389786426,84.97734891062743,713.5989281079367,1523.2390945533787,356.79946405396834,356.79946405396834,761.6195472766893,761.6195472766893,684.2617551316837,1336.4500294459542,2020.711784577638,2.020711784577638,666.1938980173884,1266.4360081728876,1932.629906190276,1.9326299061902759,80000.0,1062.52,531.26,0,0,0,0,initial,0.528,0.44656486120789013,2.2320129241514723,6.2114063822867855,initial_ax_ramp_knee
launch,12,0.396,0.396,0.20550785407867225,25.0,0.7,1.4355115999427255,5.795187861567644,7.918317276989855,7.922685068023255,1.5440718690130217,1.5449235882645347,0.10856026907029626,0.1094119883218092,0.07555183479492746,0.0761445834379904,0.0007931529046718418,0.0016447516600527387,299.45641140664327,100.35673663535,199.09967477129328,50.178368317675,99.54983738564664,289.05580330976375,98.4839214217815,190.57188188798227,466.3428173542267,940.5617762811061,1406.9045936353327,85.60176119790978,707.803924478654,1529.085441986389,353.901962239327,353.901962239327,764.5427209931945,764.5427209931945,794.6564815620127,1577.4040203588117,2372.060501920824,2.3720605019208243,779.8269364998038,1509.8410030190084,2289.667939518812,2.289667939518812,80000.0,1062.52,531.26,0,0,0,0,initial,0.528,0.44656486120789013,2.2320129241514723,6.2114063822867855,initial_ax_ramp_knee
launch,13,0.42900000000000005,0.42900000000000005,0.25596431712120055,25.0,0.7,1.6291059805048638,5.9374447885582295,8.984538350678507,8.98853184520283,1.751984978382309,1.752763709814552,0.12287899787744516,0.12365772930968832,0.07542725847667975,0.07590527000052293,0.0006962813887698005,0.001474872853468484,304.4380730274779,100.98793664758927,203.45013637988868,50.49396832379463,101.72506818994434,296.05866256163347,99.74491128152972,196.31375128010373,471.5123270978936,968.5591333886617,1440.0714604865552,86.33404869527874,703.0582210825362,1533.8914239251087,351.5291105412681,351.5291105412681,766.9457119625544,766.9457119625544,907.3299897661573,1828.7180297614882,2736.0480195276455,2.7360480195276455,896.1619806939291,1764.5724050324402,2660.7343857263695,2.6607343857263697,80000.0,1062.52,531.26,0,0,0,0,initial,0.528,0.44656486120789013,2.2320129241514723,6.2114063822867855,initial_ax_ramp_knee
launch,14,0.462,0.462,0.3128797897943648,25.0,0.7,1.8269428009000275,6.05199161830951,10.074799790712179,10.078446065894465,1.964585959188875,1.9652969828494207,0.13764315828884754,0.1383541819493932,0.07534070482175952,0.07572989251838329,0.0006227141064938338,0.0013335797132413296,308.4353744440182,101.43125105602851,207.00412338798964,50.71562552801426,103.50206169399482,301.7006242199675,100.58185577592235,201.11876844404514,474.9915866557941,992.0397492998605,1467.0313359556546,87.17724698108613,699.2452928497668,1537.7738195020058,349.6226464248834,349.6226464248834,768.8869097510029,768.8869097510029,1021.8995469109506,2086.2798929836163,3108.1794398945667,3.108179439894567,1013.342059520705,2026.9646606024266,3040.3067201231315,3.0403067201231315,80000.0,1062.52,531.26,0,0,0,0,initial,0.528,0.44656486120789013,2.2320129241514723,6.2114063822867855,initial_ax_ramp_knee
launch,15,0.495,0.495,0.37638020157945373,25.0,0.7,2.0281616588249918,6.142195233427071,11.183761061949335,11.187116838602746,2.1808334070801205,2.1814877835275355,0.15267174825512875,0.1533261247025437,0.07527592664560012,0.07559857175851191,0.0005599250410806018,0.0012141237745130005,311.4782040799856,101.64044797312668,209.8377561068589,50.82022398656334,104.91887805342945,306.2352156088762,101.1537642201575,205.08145138871873,477.15504353202346,1011.3986939753607,1488.553737507384,88.13322428601188,696.2523129163177,1540.845612558658,348.12615645815885,348.12615645815885,770.422806279329,770.422806279329,1136.7224843609415,2347.4794947176574,3484.201979078599,3.4842019790785987,1131.2795295550013,2294.270158115826,3425.549687670827,3.425549687670827,80000.0,1062.52,531.26,0,0,0,0,initial,0.528,0.44656486120789013,2.2320129241514723,6.2114063822867855,initial_ax_ramp_knee
launch,16,0.528,0.528,0.44656486120789013,25.0,0.7,2.2320129241514723,6.2114063822867855,12.307298309921295,12.310391263238595,2.3999231704346524,2.400526296331526,0.16791024628318008,0.1685133721800538,0.07522816936510941,0.07549838549618447,0.000509612451623017,0.001112541921277925,313.8025424756256,101.75384235839482,212.04870011723082,50.87692117919741,106.02435005861541,309.76538518938094,101.48145446581125,208.28393072356965,478.3498147234494,1027.0537016400058,1505.4035163634553,89.20286120206816,693.9669625518496,1543.2191966282182,346.9834812759248,346.9834812759248,771.6095983141091,771.6095983141091,1252.3148920854705,2610.402465304259,3862.7173573897294,3.8627173573897293,1248.9625330354338,2564.0566810524247,3813.0192140878585,3.8130192140878583,80000.0,1062.52,531.26,0,0,0,1,initial,0.528,0.44656486120789013,2.2320129241514723,6.2114063822867855,initial_ax_ramp_knee
launch,17,0.561,0.561,0.523510087658492,25.0,0.7,2.437855363380793,6.262834195608444,13.441847691561637,13.444713794846427,2.6211602998545196,2.621719189995053,0.1833049364737267,0.18386382661426026,0.07519106310700947,0.07542031794670533,0.0004661549473133563,0.0010248290317272952,315.48924478585826,101.7608642014449,213.72838058441334,50.88043210072245,106.86419029220667,312.48365358194866,101.66485663382953,210.81879694811914,478.86609166231193,1039.4463581610307,1518.3124498233426,90.38625322461743,692.2816452602442,1545.0021776390688,346.1408226301221,346.1408226301221,772.5010888195344,772.5010888195344,1367.8540375575094,2873.5169067934494,4241.370944350959,4.241370944350959,1366.5635184563862,2834.398387541305,4200.961905997691,4.2009619059976915,80000.0,1062.52,531.26,0,0,0,0,plateau,0.528,0.44656486120789013,2.2320129241514723,6.2114063822867855,initial_ax_ramp_knee
launch,18,0.5940000000000001,0.5940000000000001,0.607272718439393,25.0,0.7,2.6451521028592224,6.299573783253623,14.584450732237478,14.587112089442707,2.843967892786308,2.844486857441328,0.1988157899270857,0.1993347545821056,0.07516232798566853,0.07535852262205973,0.0004297877271692448,0.0009485172358808503,316.7136270529337,101.74118516092979,214.97244189200393,50.870592580464894,107.48622094600196,314.50735565528714,101.72949972747003,212.77785592781714,478.9512517645979,1049.0344888094069,1527.9857405740047,91.68291799217849,691.0925683475281,1546.2983095446339,345.54628417376404,345.54628417376404,773.1491547723169,773.1491547723169,1483.8393024190314,3135.8271060198704,4619.666408438901,4.619666408438901,1483.6688767904525,3103.81443457036,4587.483311360813,4.587483311360812,80000.0,1062.52,531.26,0,0,0,0,plateau,0.528,0.44656486120789013,2.2320129241514723,6.2114063822867855,initial_ax_ramp_knee
launch,19,0.627,0.627,0.6978934684903695,25.0,0.7,2.8534643847942234,6.324455470536904,15.732675180232954,15.735155934031441,3.067871660145426,3.068355407136131,0.21440727535120274,0.2148910223419076,0.07513928559744917,0.07530881530781902,0.00039788756851423133,0.0008813797114328338,317.55600206061627,101.68998591933467,215.8660161412816,50.84499295966734,107.9330080706408,315.99286572597043,101.73736767567588,214.25549805029453,478.79446384966445,1056.2733746944386,1535.067838544103,93.09199126168882,690.3048044407362,1547.2024490731853,345.1524022203681,345.1524022203681,773.6012245365927,773.6012245365927,1599.8555175513552,3396.6854248412137,4996.5409423925685,4.996540942392569,1600.6009593333404,3371.343671544954,4971.944630878294,4.971944630878294,80000.0,1062.52,531.26,0,0,0,0,plateau,0.528,0.44656486120789013,2.2320129241514723,6.2114063822867855,initial_ax_ramp_knee
